SKU,Product,Product additional attribute 6,Required by,PO #,PO date,Status,Product additional attribute 8,Supplier,Quantity,Cost,Total
AGA05091,0.5 x 1.5 mm CITO DYNAMIC (35 m / box),,20-May-2026,P23-2938,08-May-2026,Fully billed,0.5 x 1.5 mm,CITO-SYSTEM GmbH,10.00,47.3269888,473.27
AGA05091,0.5 x 1.5 mm CITO DYNAMIC (35 m / box),,25-May-2026,P23-2682,09-Jan-2026,Completed,0.5 x 1.5 mm,CITO-SYSTEM GmbH,10.00,50.6903488,506.90
AGA05091,0.5 x 1.5 mm CITO DYNAMIC (35 m / box),,13-Aug-2026,P23-2864,13-Apr-2026,Fully billed,0.5 x 1.5 mm,CITO-SYSTEM GmbH,16.00,48.3051296,772.88
AGA05091,0.5 x 1.5 mm CITO DYNAMIC (35 m / box),,21-Oct-2026,P23-3010,17-Jun-2026,Ordered,0.5 x 1.5 mm,CITO-SYSTEM GmbH,12.00,47.9088064,574.91
AGA05101,0.5 x 1.6 mm CITO DYNAMIC (35 m / box),,27-Nov-2025,P23-2557,13-Nov-2025,Completed,0.5 x 1.6 mm,CITO-SYSTEM GmbH,1.00,51.4926048,51.49
AGA05101,0.5 x 1.6 mm CITO DYNAMIC (35 m / box),,13-Jan-2026,P23-2418,11-Sep-2025,Completed,0.5 x 1.6 mm,CITO-SYSTEM GmbH,1.00,51.4789184,51.48
AGA05101,0.5 x 1.6 mm CITO DYNAMIC (35 m / box),,26-Feb-2026,P23-2549,07-Nov-2025,Completed,0.5 x 1.6 mm,CITO-SYSTEM GmbH,1.00,51.8874720,51.89
AGA05101,0.5 x 1.6 mm CITO DYNAMIC (35 m / box),,25-May-2026,P23-2682,09-Jan-2026,Completed,0.5 x 1.6 mm,CITO-SYSTEM GmbH,2.00,50.6903488,101.38
AGA05101,0.5 x 1.6 mm CITO DYNAMIC (35 m / box),,25-Nov-2026,P23-3131,13-Aug-2026,Ordered,0.5 x 1.6 mm,CITO-SYSTEM GmbH,4.00,47.5844096,190.34
AGA05111,0.5 x 1.7 mm CITO DYNAMIC (35 m / box),,30-Oct-2025,P23-2511,16-Oct-2025,Receiving,0.5 x 1.7 mm,CITO-SYSTEM GmbH,5.00,52.3082560,261.54
